method,role,causal,future_frames,HOTA,DetA,AssA,LocA,IDF1,IDSW_STANDARD,wrong_identity_frames,runtime_status,unseen_status
bytetrack_raw,CURRENT_EXECUTABLE_BYTETRACK_BASELINE,YES,NONE,0.8495114026998035,0.899665397523998,0.8027308861489667,0.9205883882177472,0.9206463675213675,84,31846,ELIGIBLE_PROTOCOL_NOT_EXECUTED,PENDING_SEPARATE_PREFLIGHT
realtime_fast,FROZEN_CAUSAL_REALTIME_PRIMARY,YES,NONE,0.8881872315857098,0.8991594590973847,0.8780601072257502,0.9197421390234836,0.9718924002607702,29,11893,ELIGIBLE_PROTOCOL_NOT_EXECUTED,PENDING_SEPARATE_PREFLIGHT
