review_cohort,video,episode_id,mechanism,v1_outcome,start_frame,end_frame,frames_modified,identity_before,identity_after_v1,wrong_identity_frames_before,wrong_identity_frames_after_v1,harmful_persistence_frames,v2_candidate_decision,gate_evidence_stage_id,gate_evidence_portability,gate_uses_gt,proposal_change_episode_count,stage_input_hash,proposal_output_hash,v2_stage_output_hash,modified_span_v2
HARMFUL_V1,Pigs291119_000263_30fps,1d2c802ff0c371bc032ef1b590cad0709bdd43920fbf08c310f304b2a8a0816c,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1474,1475,2,ID_6,ID_6,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,36,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,1474:1475
HARMFUL_V1,Pigs291119_000231_30fps,1e197aa2f50d83ea12b369ced3204d5b37cb581724da0a8476df9b0d28faa18e,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1352,1363,12,ID_6,ID_6,0,2,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,1352:1363
HARMFUL_V1,Pigs291119_000231_30fps,22a7ca31e92bf07b5275ebfcdfb80c6c417411a810d9badfc524ced388ad8c3f,OVERLAP_SMALL_BOX_SUPPRESSION,HARMFUL,1360,1365,6,ID_7,ID_7,0,0,438,ACCEPTED_UNCHANGED_V1_POLICY,OVERLAP_SMALL_BOX_SUPPRESSION,PREDECLARED_V1_TRANSFER_STAGE,False,1,6ce41ba33b9970ca62afc93583f480d810a81807ef68ed978e03f4f174abb80b,7a992437d6d330f5aad8a5326f972c1166dd62e8fc9c636e52632d46d5875e08,7a992437d6d330f5aad8a5326f972c1166dd62e8fc9c636e52632d46d5875e08,1360:1365
HARMFUL_V1,Pigs281119_000085_30fps,26107c6846ae92a1b8dab117f17dc2826129f83af49557ff6240c9bf2cecca8d,TEMPORAL_BBOX_REFINEMENT,HARMFUL,60,63,4,ID_1,ID_1,0,2,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,13,11893e37fb82118e0aad822205ff663966713add4c11617a5a9a8d79cdf90b11,a0b8b866718e02472a76bcbd6ac6400737b5c456290d9324843a44486f9c2839,a0b8b866718e02472a76bcbd6ac6400737b5c456290d9324843a44486f9c2839,60:63
HARMFUL_V1,Pigs291119_000233_30fps,261ca96df224091a84156c1cdc5184071f6ade0dfd0809746e48dcbdd0c4e095,OFFLINE_IDENTITY_SWAP_GUARD,HARMFUL,1008,1009,2,ID_8,ID_8,0,2,0,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,4,c412b60f027814ba7179e160fd1c841f6bca2ef71b7689f67e36affdbef408f5,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,1008:1009
HARMFUL_V1,Pigs291119_000233_30fps,2a6bf48e04c2ce3f58a8c2091dd33f281a89233aaff875b0fa20a58d98c14e3b,TEMPORAL_BBOX_REFINEMENT,HARMFUL,219,233,15,ID_5,ID_5,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,72,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,219:233
HARMFUL_V1,Pigs291119_000226_30fps,2af5916c0c6a0b9415207b0b198a413cee8449d5c07b715d3919671e82db7e4b,TEMPORAL_BBOX_REFINEMENT,HARMFUL,328,329,2,ID_4,ID_4,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,18,fe6fb38dcde6d163ffe3047b5d7862f202dc925aad8ad324881ba11e76c61837,774c3003b0e151be1d8a13aa89a3896d06388cfb1facb390730cdfdfc0fc5fbd,774c3003b0e151be1d8a13aa89a3896d06388cfb1facb390730cdfdfc0fc5fbd,328:329
HARMFUL_V1,Pigs301119_000328_30fps,2e6fca787bba277085e0a00fbb7bb52a93274921397e53dd59c0cdce8681df8a,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1466,1467,2,ID_7,ID_7,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,13,7e801f533e72095ceda21a175c490b34693032c9c8a1e04ca3f48bfebaa8f2e2,b3c6cd77d43ea31bc552068e127a9f5b2d8efb25963b7c57dc92cdb1fa656da2,b3c6cd77d43ea31bc552068e127a9f5b2d8efb25963b7c57dc92cdb1fa656da2,1466:1467
HARMFUL_V1,Pigs291119_000231_30fps,2ff769f57fd73e3b00d9995a31bdcf610a0ab9601ea3b1619c515fff8d49e0c0,TEMPORAL_BBOX_REFINEMENT,HARMFUL,100,101,2,ID_2,ID_2,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,100:101
BENEFICIAL_V1,Pigs291119_000231_30fps,31d0d36b3838ec03a66a24a96da4c7c8b612b928d30cd72e9871c7727f1b3555,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,720,739,20,ID_6,ID_6,2,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,720:739
HARMFUL_V1,Pigs281119_000085_30fps,332c0833ccad20c471a63b9ef7455f5b5624ebbf4716025b418743e3fdb34be8,TEMPORAL_BBOX_REFINEMENT,HARMFUL,722,723,2,ID_5,ID_5,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,13,11893e37fb82118e0aad822205ff663966713add4c11617a5a9a8d79cdf90b11,a0b8b866718e02472a76bcbd6ac6400737b5c456290d9324843a44486f9c2839,a0b8b866718e02472a76bcbd6ac6400737b5c456290d9324843a44486f9c2839,722:723
HARMFUL_V1,Pigs291119_000233_30fps,33d1d3924cb762ee6de297f93aadda98c30690dbae1b6778222c0216f0d42bf2,TEMPORAL_BBOX_REFINEMENT,HARMFUL,388,393,6,ID_5,ID_5,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,72,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,388:393
HARMFUL_V1,Pigs291119_000233_30fps,3ac358a0c3393ad3bde87756e44f6f426df88b78182938ebf0150725881fc20d,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1354,1355,2,ID_5,ID_5,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,72,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,1354:1355
