comparison_id,comparison_type,candidate_method,reference_method,cluster_unit,cluster_id,metric,candidate_value,reference_value,paired_difference,improvement_oriented_difference,tie_tolerance,result
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,VIDEO,Pigs301119_000328_30fps,IDF1,0.9921527777777776,0.9968055555555556,-0.004652777777778061,-0.004652777777778061,1e-12,LOSS
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,VIDEO,Pigs301119_000329_30fps,IDF1,0.9972222222222222,0.9999305555555555,-0.0027083333333333126,-0.0027083333333333126,1e-12,LOSS
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,VIDEO,Pigs301119_000330_30fps,IDF1,0.9928472222222222,0.9997916666666666,-0.00694444444444442,-0.00694444444444442,1e-12,LOSS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs281119_000085_30fps,IDF1,0.995625,0.9938194444444444,0.0018055555555556158,0.0018055555555556158,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs281119_000114_30fps,IDF1,0.999722222222222,0.9995833333333332,0.00013888888888879958,0.00013888888888879958,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000216_30fps,IDF1,0.97625,0.9753472222222223,0.0009027777777776969,0.0009027777777776969,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000225_30fps,IDF1,0.9973611111111113,0.9970833333333332,0.00027777777777804324,0.00027777777777804324,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000226_30fps,IDF1,0.9980555555555556,0.9976388888888889,0.0004166666666667318,0.0004166666666667318,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000231_30fps,IDF1,0.8322222222222222,0.8326388888888889,-0.0004166666666667318,-0.0004166666666667318,1e-12,LOSS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000233_30fps,IDF1,0.7637048402845585,0.868670665364765,-0.10496582508020647,-0.10496582508020647,1e-12,LOSS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000263_30fps,IDF1,0.9122916666666666,0.9940277777777776,-0.08173611111111101,-0.08173611111111101,1e-12,LOSS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs291119_000302_30fps,IDF1,0.9991666666666666,0.9995833333333332,-0.00041666666666650976,-0.00041666666666650976,1e-12,LOSS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs301119_000327_30fps,IDF1,0.9795138888888888,0.979236111111111,0.0002777777777778212,0.0002777777777778212,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs301119_000328_30fps,IDF1,0.9979861111111112,0.9968055555555556,0.001180555555555629,0.001180555555555629,1e-12,WIN
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs301119_000329_30fps,IDF1,0.9999305555555555,0.9999305555555555,0.0,0.0,1e-12,TIE
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,VIDEO,Pigs301119_000330_30fps,IDF1,0.9997916666666666,0.9997916666666666,0.0,0.0,1e-12,TIE
