comparison_id,comparison_type,candidate_method,reference_method,cluster_unit,cluster_id,metric,candidate_value,reference_value,paired_difference,improvement_oriented_difference,tie_tolerance,result
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000330_30fps,DetA,0.9215425779874918,0.9189770931706316,0.002565484816860253,0.002565484816860253,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs281119_000085_30fps,AssA,0.9128381369849639,0.9149925140461214,-0.0021543770611575086,-0.0021543770611575086,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs281119_000114_30fps,AssA,0.9282697666038634,0.7377616154703629,0.1905081511335005,0.1905081511335005,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000216_30fps,AssA,0.8637135797047913,0.8637806397193075,-6.706001451617372e-05,-6.706001451617372e-05,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000225_30fps,AssA,0.8783523691135517,0.8792475985407621,-0.0008952294272103201,-0.0008952294272103201,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000226_30fps,AssA,0.8921626114013611,0.8917925438553349,0.0003700675460261982,0.0003700675460261982,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000231_30fps,AssA,0.6500668165254376,0.4469518638471855,0.20311495267825214,0.20311495267825214,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000233_30fps,AssA,0.7685873373261944,0.6386142467641444,0.1299730905620501,0.1299730905620501,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000263_30fps,AssA,0.8942637651003859,0.8018465281638258,0.09241723693656001,0.09241723693656001,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000302_30fps,AssA,0.935489753768413,0.8090118359199479,0.12647791784846518,0.12647791784846518,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000327_30fps,AssA,0.8554559255211883,0.8491125764004661,0.006343349120722208,0.006343349120722208,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000328_30fps,AssA,0.9299970930794516,0.9206483293428626,0.009348763736588994,0.009348763736588994,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000329_30fps,AssA,0.9373335337849082,0.9173505501429808,0.01998298364192741,0.01998298364192741,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000330_30fps,AssA,0.9288734581509605,0.737143088680549,0.19173036947041144,0.19173036947041144,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs281119_000085_30fps,LocA,0.9192490692855732,0.9204247787942166,-0.00117570950864343,-0.00117570950864343,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs281119_000114_30fps,LocA,0.9336109008147672,0.9351109642798816,-0.0015000634651144429,-0.0015000634651144429,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000216_30fps,LocA,0.91888975744592,0.9197162767742524,-0.0008265193283323313,-0.0008265193283323313,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000225_30fps,LocA,0.8809755719115179,0.8817884998895513,-0.0008129279780334508,-0.0008129279780334508,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000226_30fps,LocA,0.9016018503850488,0.9017527034999852,-0.00015085311493634457,-0.00015085311493634457,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000231_30fps,LocA,0.9207142682661444,0.922102966097638,-0.001388697831493535,-0.001388697831493535,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000233_30fps,LocA,0.9451504172801464,0.943965127930657,0.0011852893494893602,0.0011852893494893602,1e-12,WIN
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000263_30fps,LocA,0.9117150283927,0.9144241365066496,-0.002709108113949532,-0.002709108113949532,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs291119_000302_30fps,LocA,0.9299387700017282,0.9304281524448996,-0.0004893824431714267,-0.0004893824431714267,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000327_30fps,LocA,0.8997916287227741,0.903453660646742,-0.0036620319239679677,-0.0036620319239679677,1e-12,LOSS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,VIDEO,Pigs301119_000328_30fps,LocA,0.9272196993729576,0.9268361495982396,0.000383549774717995,0.000383549774717995,1e-12,WIN
