method_id,canonical_version,HOTA,DetA,AssA,LocA,IDF1,IDP,IDR,IDSW_STANDARD,FP,FN,fragments,wrong_identity_frames,wrong_identity_seconds,recovered_identity_episodes,terminal_identity_episodes,persistent_pairwise_swaps,prediction_hash,evaluation_population,include_hidden
bytetrack_raw,current_b0,0.8495114026998035,0.899665397523998,0.8027308861489667,0.9205883882177472,0.9206463675213675,0.9206463675213675,0.9206463675213675,84,480,480,141,31846,1061.5333333330252,45,27,10,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,FROZEN_13_VIDEO_DEVELOPMENT_POPULATION,True
hybrid_bytetrack,historical_h5b_h4_final,0.9002906560906596,0.8897945412373369,0.9119035496598343,0.9296724339629265,0.9915010683760683,0.9915010683760683,0.9915010683760683,0,1579,1579,425,24,0.8,8,0,0,36c3bdd3f6d92c0c5336590dbf4c8822402d718ec47df2b137cef862339d5b8a,FROZEN_13_VIDEO_DEVELOPMENT_POPULATION,True
realtime_fast,v1,0.8881872315857098,0.8991594590973847,0.8780601072257502,0.9197421390234836,0.9718924002607702,0.9722145010583934,0.9715705128205128,29,473,597,107,11893,396.4333333334331,16,12,7,fd2d4f3dec0710d1c9eecba9308247a7b226dd34a4a02a9cb89f17acb22bbbfe,FROZEN_13_VIDEO_DEVELOPMENT_POPULATION,True
rf_hybrid,v1,0.878280776077832,0.9008684921344624,0.8569413402709897,0.9200239500285434,0.9578813495922794,0.9581988069020078,0.9575641025641024,18,412,536,87,14515,483.83333333350265,17,14,6,8ecf2a42bedced243232dbf8c537d1177c0abed77bb43dfa74c117185d2e528e,FROZEN_13_VIDEO_DEVELOPMENT_POPULATION,True
