method_id,video_id,fragments,HOTA,AssA,IDF1,IDSW_STANDARD,wrong_identity_frames
bytetrack_raw,Pigs281119_000085_30fps,7,0.9111606127805274,0.9149925140461214,0.994375,2,3482
bytetrack_raw,Pigs281119_000114_30fps,2,0.8257435321147075,0.7377616154703629,0.8535416666666666,4,3978
bytetrack_raw,Pigs291119_000216_30fps,18,0.8759513344501211,0.8637806397193075,0.9735416666666666,6,3278
bytetrack_raw,Pigs291119_000225_30fps,19,0.8633955741333423,0.8792475985407621,0.9972222222222222,0,0
bytetrack_raw,Pigs291119_000226_30fps,8,0.8824753293010233,0.8917925438553349,0.9959027777777778,4,24
bytetrack_raw,Pigs291119_000231_30fps,16,0.6288734185351977,0.4469518638471855,0.6518055555555555,29,5333
bytetrack_raw,Pigs291119_000233_30fps,24,0.7647016804999115,0.6386142467641444,0.7993055555555556,19,2869
bytetrack_raw,Pigs291119_000263_30fps,10,0.8501508670629677,0.8018465281638258,0.9455555555555556,2,2883
bytetrack_raw,Pigs291119_000302_30fps,7,0.8661556605162692,0.8090118359199479,0.9213888888888888,2,2470
bytetrack_raw,Pigs301119_000327_30fps,10,0.8671287433438299,0.8491125764004661,0.979097222222222,6,3310
bytetrack_raw,Pigs301119_000328_30fps,15,0.9140975563129518,0.9206483293428626,0.9860416666666668,4,152
bytetrack_raw,Pigs301119_000329_30fps,3,0.9212264683498436,0.9173505501429808,0.9882638888888888,2,168
bytetrack_raw,Pigs301119_000330_30fps,2,0.8226155616885439,0.737143088680549,0.8823611111111112,4,3899
hybrid_bytetrack,Pigs281119_000085_30fps,17,0.919061979253688,0.9230360047889724,0.9954166666666666,0,0
hybrid_bytetrack,Pigs281119_000114_30fps,58,0.879722249411858,0.8845055735708888,0.9872222222222222,0,0
hybrid_bytetrack,Pigs291119_000216_30fps,65,0.8853261175849076,0.8984906868718863,0.9774305555555556,0,0
hybrid_bytetrack,Pigs291119_000225_30fps,48,0.8309763798642535,0.8516950952765846,0.9888194444444444,0,0
hybrid_bytetrack,Pigs291119_000226_30fps,19,0.8822631786656048,0.8925855316977481,0.9969444444444444,0,0
hybrid_bytetrack,Pigs291119_000231_30fps,54,0.9097241025757752,0.9178398223328044,0.9871527777777775,0,0
hybrid_bytetrack,Pigs291119_000233_30fps,32,0.9323114551972635,0.9347419134033282,0.9913194444444444,0,24
hybrid_bytetrack,Pigs291119_000263_30fps,16,0.9123537591792384,0.914895462068182,0.9965972222222222,0,0
hybrid_bytetrack,Pigs291119_000302_30fps,5,0.930202435888938,0.9339678343585978,0.9957638888888888,0,0
hybrid_bytetrack,Pigs301119_000327_30fps,44,0.8537892620466188,0.8568469081201768,0.990625,0,0
hybrid_bytetrack,Pigs301119_000328_30fps,19,0.9313657105586236,0.9363239082056604,0.9921527777777776,0,0
hybrid_bytetrack,Pigs301119_000329_30fps,19,0.9268456199113896,0.9317088606992991,0.9972222222222222,0,0
hybrid_bytetrack,Pigs301119_000330_30fps,29,0.8973991040355292,0.9052044980742148,0.9928472222222222,0,0
realtime_fast,Pigs281119_000085_30fps,6,0.9087989681503126,0.9128381369849639,0.9938194444444444,2,3473
realtime_fast,Pigs281119_000114_30fps,4,0.9259711043903882,0.9282697666038634,0.9995833333333332,0,0
realtime_fast,Pigs291119_000216_30fps,9,0.8758902997918283,0.8637135797047913,0.9753472222222223,2,3257
realtime_fast,Pigs291119_000225_30fps,20,0.8620090491918813,0.8783523691135517,0.9970833333333332,0,0
realtime_fast,Pigs291119_000226_30fps,6,0.8828107758437522,0.8921626114013611,0.9976388888888889,2,2
realtime_fast,Pigs291119_000231_30fps,7,0.7589687443112137,0.6500668165254376,0.8326388888888889,8,3071
realtime_fast,Pigs291119_000233_30fps,20,0.835577521110272,0.7685873373261944,0.868670665364765,9,1669
realtime_fast,Pigs291119_000263_30fps,10,0.892991620338211,0.8942637651003859,0.9940277777777776,4,128
realtime_fast,Pigs291119_000302_30fps,3,0.9323309889174566,0.935489753768413,0.9995833333333332,0,0
realtime_fast,Pigs301119_000327_30fps,9,0.8661318186737885,0.8554559255211883,0.979236111111111,2,293
realtime_fast,Pigs301119_000328_30fps,10,0.9241796241862295,0.9299970930794516,0.9968055555555556,0,0
realtime_fast,Pigs301119_000329_30fps,1,0.9346925101343024,0.9373335337849082,0.9999305555555555,0,0
realtime_fast,Pigs301119_000330_30fps,2,0.9250926057335886,0.9288734581509605,0.9997916666666666,0,0
rf_hybrid,Pigs281119_000085_30fps,5,0.9102902838355558,0.9142833644649264,0.995625,2,3476
rf_hybrid,Pigs281119_000114_30fps,3,0.9263913098204548,0.9286856537347395,0.999722222222222,0,0
rf_hybrid,Pigs291119_000216_30fps,5,0.8767358405028566,0.8647232790945018,0.97625,2,3260
rf_hybrid,Pigs291119_000225_30fps,18,0.8624094547426219,0.8786904899025092,0.9973611111111113,0,0
rf_hybrid,Pigs291119_000226_30fps,6,0.8835967033415848,0.8929133679680721,0.9980555555555556,0,0
rf_hybrid,Pigs291119_000231_30fps,6,0.7614889711123988,0.6518471429890663,0.8322222222222222,4,2965
rf_hybrid,Pigs291119_000233_30fps,13,0.7506544344007287,0.6169983460594336,0.7637048402845585,4,3235
rf_hybrid,Pigs291119_000263_30fps,8,0.8304657553839155,0.7661414626299042,0.9122916666666666,4,1283
rf_hybrid,Pigs291119_000302_30fps,3,0.9325725244010946,0.935711314490122,0.9991666666666666,0,0
rf_hybrid,Pigs301119_000327_30fps,7,0.866474862675296,0.8557741919183794,0.9795138888888888,2,296
rf_hybrid,Pigs301119_000328_30fps,10,0.9246672602444705,0.9304300415449344,0.9979861111111112,0,0
rf_hybrid,Pigs301119_000329_30fps,1,0.9349968589554456,0.9376420054200904,0.9999305555555555,0,0
rf_hybrid,Pigs301119_000330_30fps,2,0.9252294868968904,0.9290076872282292,0.9997916666666666,0,0
