method_id,predicted_xml_track_count,predicted_tracklet_count,GT_identity_count,predicted_tracklets_per_GT_identity,GT_identities_matched_to_more_than_one_predicted_tracklet,median_tracklet_length_frames,minimum_tracklet_length_frames,short_tracklets_lt_15_frames,short_tracklets_15_to_59_frames,tracklets_60_to_299_frames,tracklets_ge_300_frames,fragments,fragments_per_GT_identity,mostly_tracked,partially_tracked,mostly_lost,identity_continuity_through_occlusion_episodes,track_termination_before_identity_recovery,missing_detection_spans,IDSW_STANDARD,wrong_identity_frames,terminal_identity_episodes,maximum_video_fragments,top_three_video_fragment_share
bytetrack_raw,104,104,104,1.0,NOT_AVAILABLE_UNDER_FROZEN_SUMMARY_AUTHORITY,1800.0,1800,0,0,0,104,141,1.3557692307692308,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_IDENTIFIABLE_FROM_FRAGMENT_COUNT_ALONE,REPRESENTED_BY_STANDARD_V2_FRAGMENTS,84,31846,27,24,0.4326241134751773
hybrid_bytetrack,104,104,104,1.0,NOT_AVAILABLE_UNDER_FROZEN_SUMMARY_AUTHORITY,1800.0,1800,0,0,0,104,425,4.086538461538462,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_IDENTIFIABLE_FROM_FRAGMENT_COUNT_ALONE,REPRESENTED_BY_STANDARD_V2_FRAGMENTS,0,24,0,65,0.4164705882352941
realtime_fast,104,105,104,1.0096153846153846,NOT_AVAILABLE_UNDER_FROZEN_SUMMARY_AUTHORITY,1800,108,0,0,1,104,107,1.0288461538461537,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_IDENTIFIABLE_FROM_FRAGMENT_COUNT_ALONE,REPRESENTED_BY_STANDARD_V2_FRAGMENTS,29,11893,12,20,0.4672897196261682
rf_hybrid,104,105,104,1.0096153846153846,NOT_AVAILABLE_UNDER_FROZEN_SUMMARY_AUTHORITY,1800,108,0,0,1,104,87,0.8365384615384616,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_IDENTIFIABLE_FROM_FRAGMENT_COUNT_ALONE,REPRESENTED_BY_STANDARD_V2_FRAGMENTS,18,14515,14,18,0.47126436781609193
