method_id,evaluation_scope,HOTA,DetA,AssA,LocA,IDF1,IDSW_STANDARD,wrong_identity_frames,wrong_identity_seconds,fragments,terminal_identity_episodes,prediction_hash,GT_hash,evaluator_hash
bytetrack_raw,VISIBLE_ONLY_SENSITIVITY,0.8373720838205683,0.8840346304866841,0.7937259312560377,0.9219358074292897,0.9094277893674567,80,30033,1001.0999999997468,693,27,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
bytetrack_raw,PRIMARY_INCLUDE_HIDDEN,0.8495114026998035,0.899665397523998,0.8027308861489667,0.9205883882177472,0.9206463675213675,84,31846,1061.5333333330252,141,27,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
hybrid_bytetrack,VISIBLE_ONLY_SENSITIVITY,0.887782802518958,0.8741169741115999,0.902611065085727,0.9310981743332903,0.9813563886946751,0,13,0.4333333333333333,985,0,36c3bdd3f6d92c0c5336590dbf4c8822402d718ec47df2b137cef862339d5b8a,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
hybrid_bytetrack,PRIMARY_INCLUDE_HIDDEN,0.9002906560906596,0.8897945412373369,0.9119035496598343,0.9296724339629265,0.9915010683760683,0,24,0.8,425,0,36c3bdd3f6d92c0c5336590dbf4c8822402d718ec47df2b137cef862339d5b8a,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
realtime_fast,VISIBLE_ONLY_SENSITIVITY,0.8767693119826552,0.8833687504029556,0.8708996293272672,0.9210587346684551,0.9620848320325756,32,9996,333.20000000004944,682,12,fd2d4f3dec0710d1c9eecba9308247a7b226dd34a4a02a9cb89f17acb22bbbfe,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
realtime_fast,PRIMARY_INCLUDE_HIDDEN,0.8881872315857098,0.8991594590973847,0.8780601072257502,0.9197421390234836,0.9718924002607702,29,11893,396.4333333334331,107,12,fd2d4f3dec0710d1c9eecba9308247a7b226dd34a4a02a9cb89f17acb22bbbfe,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
rf_hybrid,VISIBLE_ONLY_SENSITIVITY,0.8661314387688852,0.8843805747916504,0.8489099905394498,0.9212232041435037,0.9475687459447426,30,12677,422.5666666667872,685,14,8ecf2a42bedced243232dbf8c537d1177c0abed77bb43dfa74c117185d2e528e,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
rf_hybrid,PRIMARY_INCLUDE_HIDDEN,0.878280776077832,0.9008684921344624,0.8569413402709897,0.9200239500285434,0.9578813495922794,18,14515,483.83333333350265,87,14,8ecf2a42bedced243232dbf8c537d1177c0abed77bb43dfa74c117185d2e528e,675cf37c4f924e391ffa457ba6c6e9453b967af318f37ecd2bc1ab1190a1d9dd,398b6ec58f5d912083d3a55469a3e31acc713367
