method_id,video_id,session_key,frame_count,duration_seconds,FPS,HOTA,DetA,AssA,LocA,IDF1,IDP,IDR,IDSW_STANDARD,FP,FN,fragments,wrong_identity_frames,wrong_identity_seconds,recovered_identity_episodes,terminal_identity_episodes,persistent_pairwise_swaps,evaluation_status
hybrid_bytetrack,Pigs291119_000226_30fps,UNKNOWN,1800,60.0,30.0,0.8822631786656048,0.8727973559910751,0.8925855316977481,0.9067358160351096,0.9969444444444444,0.9969444444444444,0.9969444444444444,0,44,44,19,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000231_30fps,UNKNOWN,1800,60.0,30.0,0.9097241025757752,0.9019153628997072,0.9178398223328044,0.9597441257111264,0.9871527777777775,0.9871527777777775,0.9871527777777775,0,185,185,54,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000233_30fps,UNKNOWN,1800,60.0,30.0,0.9323114551972635,0.9299025585059488,0.9347419134033282,0.9732909512246956,0.9913194444444444,0.9913194444444444,0.9913194444444444,0,113,113,32,24,0.7999999999999999,8,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000263_30fps,UNKNOWN,1800,60.0,30.0,0.9123537591792384,0.9099005442784002,0.914895462068182,0.9264642993371726,0.9965972222222222,0.9965972222222222,0.9965972222222222,0,49,49,16,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000302_30fps,UNKNOWN,1800,60.0,30.0,0.930202435888938,0.9267718813500317,0.9339678343585978,0.9327700983915144,0.9957638888888888,0.9957638888888888,0.9957638888888888,0,61,61,5,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs301119_000327_30fps,UNKNOWN,1800,60.0,30.0,0.8537892620466188,0.8508438455032648,0.8568469081201768,0.8984162587306794,0.990625,0.990625,0.990625,0,135,135,44,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs301119_000328_30fps,UNKNOWN,1800,60.0,30.0,0.9313657105586236,0.9267105431253938,0.9363239082056604,0.938284528535962,0.9921527777777776,0.9921527777777776,0.9921527777777776,0,113,113,19,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs301119_000329_30fps,UNKNOWN,1800,60.0,30.0,0.9268456199113896,0.922176170796888,0.9317088606992991,0.936991865088774,0.9972222222222222,0.9972222222222222,0.9972222222222222,0,40,40,19,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs301119_000330_30fps,UNKNOWN,1800,60.0,30.0,0.8973991040355292,0.8899811914970671,0.9052044980742148,0.9336106436842188,0.9928472222222222,0.9928472222222222,0.9928472222222222,0,103,103,29,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs281119_000085_30fps,UNKNOWN,1800,60.0,30.0,0.9087989681503126,0.9050477622917714,0.9128381369849639,0.9192490692855732,0.9938194444444444,0.9938194444444444,0.9938194444444444,2,35,35,6,3473,115.76666666666266,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs281119_000114_30fps,UNKNOWN,1800,60.0,30.0,0.9259711043903882,0.9237761043299396,0.9282697666038634,0.9336109008147672,0.9995833333333332,0.9995833333333332,0.9995833333333332,0,6,6,4,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000216_30fps,UNKNOWN,1800,60.0,30.0,0.8758902997918283,0.8889876859765133,0.8637135797047913,0.91888975744592,0.9753472222222223,0.9753472222222223,0.9753472222222223,2,18,18,9,3257,108.56666666666308,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000225_30fps,UNKNOWN,1800,60.0,30.0,0.8620090491918813,0.8500767005380776,0.8783523691135517,0.8809755719115179,0.9970833333333332,0.9970833333333332,0.9970833333333332,0,42,42,20,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000226_30fps,UNKNOWN,1800,60.0,30.0,0.8828107758437522,0.8744793548372498,0.8921626114013611,0.9016018503850488,0.9976388888888889,0.9976388888888889,0.9976388888888889,2,32,32,6,2,0.0666666666666666,1,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000231_30fps,UNKNOWN,1800,60.0,30.0,0.7589687443112137,0.8878681708438911,0.6500668165254376,0.9207142682661444,0.8326388888888889,0.8326388888888889,0.8326388888888889,8,69,69,7,3071,102.36666666666342,2,4,3,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000233_30fps,UNKNOWN,1800,60.0,30.0,0.835577521110272,0.9084255916407804,0.7685873373261944,0.9451504172801464,0.868670665364765,0.872443261417764,0.8649305555555555,9,189,313,20,1669,55.633333333332736,3,2,1,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000263_30fps,UNKNOWN,1800,60.0,30.0,0.892991620338211,0.8917698455078271,0.8942637651003859,0.9117150283927,0.9940277777777776,0.9940277777777776,0.9940277777777776,4,13,13,10,128,4.26666666666666,8,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs291119_000302_30fps,UNKNOWN,1800,60.0,30.0,0.9323309889174566,0.9294278141088718,0.935489753768413,0.9299387700017282,0.9995833333333332,0.9995833333333332,0.9995833333333332,0,6,6,3,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs301119_000327_30fps,UNKNOWN,1800,60.0,30.0,0.8661318186737885,0.8770254714907729,0.8554559255211883,0.8997916287227741,0.979236111111111,0.979236111111111,0.979236111111111,2,13,13,9,293,9.76666666666664,2,2,1,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs301119_000328_30fps,UNKNOWN,1800,60.0,30.0,0.9241796241862295,0.9189355245950136,0.9299970930794516,0.9272196993729576,0.9968055555555556,0.9968055555555556,0.9968055555555556,0,46,46,10,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs301119_000329_30fps,UNKNOWN,1800,60.0,30.0,0.9346925101343024,0.9322041813463138,0.9373335337849082,0.9335904828669752,0.9999305555555555,0.9999305555555555,0.9999305555555555,0,1,1,1,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
realtime_fast,Pigs301119_000330_30fps,UNKNOWN,1800,60.0,30.0,0.9250926057335886,0.9215425779874918,0.9288734581509605,0.931631933109584,0.9997916666666666,0.9997916666666666,0.9997916666666666,0,3,3,2,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs281119_000085_30fps,UNKNOWN,1800,60.0,30.0,0.9102902838355558,0.9065851733141116,0.9142833644649264,0.9191691543768814,0.995625,0.995625,0.995625,2,9,9,5,3476,115.86666666666264,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
