comparison_id,comparison_type,candidate_method,reference_method,metric,cluster_count,mean_paired_difference,median_paired_difference,minimum_paired_difference,maximum_paired_difference,wins,ties,losses,proportion_clusters_improved,leave_one_cluster_out_min,leave_one_cluster_out_max,most_influential_cluster,influence_change_from_full_mean,consistency_interpretation
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,IDSW_STANDARD,13,-2.230769230769231,-2.0,-9.0,0.0,7,6,0,0.5384615384615384,-2.4166666666666665,-1.6666666666666667,Pigs291119_000233_30fps,0.5641025641025641,CONSISTENT_DIRECTION
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,wrong_identity_frames,13,-913.0,-2.0,-3473.0,0.0,7,6,0,0.5384615384615384,-989.0833333333334,-699.6666666666666,Pigs281119_000085_30fps,213.33333333333337,CONSISTENT_DIRECTION
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,wrong_identity_seconds,13,-30.433333333332452,-0.0666666666666666,-115.76666666666266,0.0,7,6,0,0.5384615384615384,-32.96944444444349,-23.3222222222216,Pigs281119_000085_30fps,7.111111111110851,CONSISTENT_DIRECTION
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,terminal_identity_episodes,13,-0.9230769230769231,0.0,-4.0,0.0,5,8,0,0.38461538461538464,-1.0,-0.6666666666666666,Pigs291119_000231_30fps,0.2564102564102565,CONSISTENT_DIRECTION
C2,DEVELOPMENT_OFFLINE_VERSUS_CAUSAL_COMPLETE_METHOD_COMPARISON,hybrid_bytetrack,realtime_fast,fragments,13,24.46153846153846,18.0,2.0,56.0,0,0,13,0.0,21.833333333333332,26.333333333333332,Pigs291119_000216_30fps,-2.6282051282051277,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,HOTA,13,-0.010728606496916222,0.00040040555074061235,-0.0849230867095433,0.0025202268011850215,11,0,2,0.8461538461538461,-0.011832675938424658,-0.004545733145863966,Pigs291119_000233_30fps,0.006182873351052256,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,DetA,13,0.0017075064706866688,0.0005419976476276345,0.00013969077855091605,0.00845224825127433,13,0,0,1.0,0.001145444655637697,0.0018381577783646481,Pigs291119_000263_30fps,-0.0005620618150489719,CONSISTENT_DIRECTION
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,AssA,13,-0.020965830740043264,0.00033812078895745223,-0.15158899126676084,0.0017803264636286897,11,0,2,0.8461538461538461,-0.022861343840349258,-0.010080567362816798,Pigs291119_000233_30fps,0.010885263377226466,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,LocA,13,0.0002801751792763395,0.00012049849698114734,-7.991490869174722e-05,0.0012037231892048084,12,0,1,0.9230769230769231,0.00020321284511563378,0.0003101826866070134,Pigs291119_000263_30fps,-7.696233416070572e-05,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,IDF1,13,-0.01404117457881926,0.00013888888888879958,-0.10496582508020647,0.0018055555555556158,7,2,4,0.5384615384615384,-0.0153617354233505,-0.006464120370370326,Pigs291119_000233_30fps,0.007577054208448934,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,IDSW_STANDARD,13,-0.8461538461538461,0.0,-5.0,0.0,3,10,0,0.23076923076923078,-0.9166666666666666,-0.5,Pigs291119_000233_30fps,0.34615384615384615,CONSISTENT_DIRECTION
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,wrong_identity_frames,13,201.69230769230768,0.0,-106.0,1566.0,2,6,5,0.15384615384615385,88.0,227.33333333333334,Pigs291119_000233_30fps,-113.69230769230768,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,wrong_identity_seconds,13,6.723076923076718,0.0,-3.5333333333331467,52.19999999999704,2,6,5,0.15384615384615385,2.9333333333333576,7.5777777777775395,Pigs291119_000233_30fps,-3.7897435897433605,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,terminal_identity_episodes,13,0.15384615384615385,0.0,0.0,2.0,0,12,1,0.0,0.0,0.16666666666666666,Pigs291119_000233_30fps,-0.15384615384615385,MIXED_ACROSS_VIDEOS
C3,TRANSFER_ABLATION,rf_hybrid,realtime_fast,fragments,13,-1.5384615384615385,-1.0,-7.0,0.0,8,5,0,0.6153846153846154,-1.6666666666666667,-1.0833333333333333,Pigs291119_000233_30fps,0.4551282051282053,CONSISTENT_DIRECTION
