method_id,video_id,HOTA_primary,HOTA_visible_only,HOTA_visible_minus_primary,AssA_primary,AssA_visible_only,AssA_visible_minus_primary,IDF1_primary,IDF1_visible_only,IDF1_visible_minus_primary,wrong_identity_frames_primary,wrong_identity_frames_visible_only,wrong_identity_frames_visible_minus_primary,interpretation
bytetrack_raw,Pigs281119_000085_30fps,0.9111606127805274,0.9114714732001251,0.0003108604195977138,0.9149925140461214,0.9152458156290433,0.0002533015829219165,0.994375,0.9949245637210595,0.0005495637210595206,3482,3479,-3,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs281119_000114_30fps,0.8257435321147075,0.823848012119451,-0.0018955199952565005,0.7377616154703629,0.7357767656792983,-0.0019848497910646135,0.8535416666666666,0.8521068001668752,-0.0014348664997914096,3978,3975,-3,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000216_30fps,0.8759513344501211,0.8095958205751703,-0.06635551387495076,0.8637806397193075,0.8433554395724938,-0.020425200146813705,0.9735416666666666,0.9014598540145985,-0.07208181265206814,3278,1718,-1560,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000225_30fps,0.8633955741333423,0.8318021628143221,-0.03159341131902027,0.8792475985407621,0.8492305230656999,-0.03001707547506216,0.9972222222222222,0.9760442914433758,-0.021177930778846443,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000226_30fps,0.8824753293010233,0.8626978246441059,-0.01977750465691741,0.8917925438553349,0.8721366271090079,-0.01965591674632705,0.9959027777777778,0.9814808282479099,-0.014421949529867861,24,23,-1,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000231_30fps,0.6288734185351977,0.6226738709685984,-0.0061995475665993505,0.4469518638471855,0.44114098447581473,-0.0058108793713707585,0.6518055555555555,0.6377722396792719,-0.014033315876283647,5333,5238,-95,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000233_30fps,0.7647016804999115,0.7555075817803234,-0.009194098719588095,0.6386142467641444,0.6237403917211811,-0.014873855042963235,0.7993055555555556,0.7869538985697555,-0.012351656985800097,2869,2807,-62,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000263_30fps,0.8501508670629677,0.8298681632537921,-0.02028270380917563,0.8018465281638258,0.7818661566645806,-0.019980371499245253,0.9455555555555556,0.9303129741364101,-0.015242581419145473,2883,2834,-49,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs291119_000302_30fps,0.8661556605162692,0.8671236054120063,0.0009679448957370385,0.8090118359199479,0.8107075668518271,0.0016957309318792468,0.9213888888888888,0.9222772622619131,0.000888373373024276,2470,2451,-19,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs301119_000327_30fps,0.8671287433438299,0.8611029897539376,-0.006025753589892324,0.8491125764004661,0.8431171724113069,-0.005995403989159209,0.979097222222222,0.9753564083795183,-0.0037408138427036386,3310,3297,-13,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs301119_000328_30fps,0.9140975563129518,0.9133811006918807,-0.0007164556210710327,0.9206483293428626,0.9195494318176066,-0.0010988975252559374,0.9860416666666668,0.986293725804764,0.000252059138097227,152,150,-2,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs301119_000329_30fps,0.9212264683498436,0.9169306954886541,-0.004295772861189429,0.9173505501429808,0.9130263498775756,-0.004324200265405254,0.9882638888888888,0.9853920440679148,-0.0028718448209740233,168,162,-6,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
bytetrack_raw,Pigs301119_000330_30fps,0.8226155616885439,0.8226158578104867,2.961219428554429e-07,0.737143088680549,0.7371459030570024,2.814376453441625e-06,0.8823611111111112,0.8823917497135317,3.063860242058514e-05,3899,3899,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
hybrid_bytetrack,Pigs281119_000085_30fps,0.919061979253688,0.9167465339435031,-0.002315445310184905,0.9230360047889724,0.9207329087823615,-0.0023030960066109385,0.9954166666666666,0.9938091263216472,-0.0016075403450194203,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
hybrid_bytetrack,Pigs281119_000114_30fps,0.879722249411858,0.8767057175738264,-0.003016531838031522,0.8845055735708888,0.8815574973702828,-0.002948076200605998,0.9872222222222222,0.9855909786997077,-0.001631243522514536,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
hybrid_bytetrack,Pigs291119_000216_30fps,0.8853261175849076,0.8209342754585028,-0.06439184212640481,0.8984906868718863,0.8710602007820073,-0.02743048608987897,0.9774305555555556,0.922071090403547,-0.055359465152008625,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
hybrid_bytetrack,Pigs291119_000225_30fps,0.8309763798642535,0.8015462650582638,-0.029430114805989782,0.8516950952765846,0.8244047715960193,-0.027290323680565276,0.9888194444444444,0.9676662042471454,-0.021153240197298917,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
