comparison_id,candidate_method,reference_method,metric,resampling_unit,omitted_cluster,cluster_count_retained,full_mean_paired_difference,leave_one_out_mean_paired_difference,change_from_full_mean,independence_status
C1,realtime_fast,bytetrack_raw,DetA,VIDEO,Pigs301119_000330_30fps,12,-0.00044404187595008357,-0.0006948357670176116,-0.00025079389106752805,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs281119_000085_30fps,12,0.07439617047474001,0.08077538276939814,0.0063792122946581264,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs281119_000114_30fps,12,0.07439617047474001,0.06472017208650997,-0.009675998388230037,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000216_30fps,12,0.07439617047474001,0.08060143968217803,0.0062052692074380245,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000225_30fps,12,0.07439617047474001,0.08067045379990254,0.006274283325162527,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000226_30fps,12,0.07439617047474001,0.08056501238546616,0.0061688419107261555,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000231_30fps,12,0.07439617047474001,0.063669605291114,-0.01072656518362601,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000233_30fps,12,0.07439617047474001,0.06976476046746417,-0.004631410007275835,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000263_30fps,12,0.07439617047474001,0.07289441493625501,-0.001501755538485,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs291119_000302_30fps,12,0.07439617047474001,0.07005602486026291,-0.004340145614477098,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs301119_000327_30fps,12,0.07439617047474001,0.08006723892090817,0.005671068446168159,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs301119_000328_30fps,12,0.07439617047474001,0.07981678770291926,0.005420617228179256,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs301119_000329_30fps,12,0.07439617047474001,0.07893060271080773,0.004534432236067726,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,AssA,VIDEO,Pigs301119_000330_30fps,12,0.07439617047474001,0.06461832055843406,-0.009777849916305953,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs281119_000085_30fps,12,-0.0008554873534060489,-0.0008288021738029339,2.6685179603115074e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs281119_000114_30fps,12,-0.0008554873534060489,-0.0008017726774303494,5.371467597569952e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000216_30fps,12,-0.0008554873534060489,-0.0008579013554955254,-2.4140020894764403e-06,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000225_30fps,12,-0.0008554873534060489,-0.0008590339680204321,-3.546614614383147e-06,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000226_30fps,12,-0.0008554873534060489,-0.0009142068732785243,-5.871951987247541e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000231_30fps,12,-0.0008554873534060489,-0.0008110531468987584,4.443420650729053e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000233_30fps,12,-0.0008554873534060489,-0.001025552078647333,-0.00017006472524128417,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000263_30fps,12,-0.0008554873534060489,-0.000701018956694092,0.00015446839671195696,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs291119_000302_30fps,12,-0.0008554873534060489,-0.0008859960959256008,-3.0508742519551866e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs301119_000327_30fps,12,-0.0008554873534060489,-0.0006216086391925557,0.00023387871421349322,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs301119_000328_30fps,12,-0.0008554873534060489,-0.000958740447416386,-0.00010325309401033704,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs301119_000329_30fps,12,-0.0008554873534060489,-0.0008665270980884229,-1.103974468237394e-05,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,LocA,VIDEO,Pigs301119_000330_30fps,12,-0.0008554873534060489,-0.0009891220833877223,-0.0001336347299816734,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs281119_000085_30fps,12,0.05121184605369982,0.05552579618780445,0.004313950134104627,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs281119_000114_30fps,12,0.05121184605369982,0.043309361002619264,-0.007902485051080557,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
